               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 130,            0.025298,             0.03719,           0.0050389,             0.94328,              0.8967,             0.94258,             0.80997,            0.019037,            0.034988,           0.0048406,            0.005743,            0.005743,            0.005743
                 131,            0.025054,            0.036838,           0.0049859,             0.94851,             0.89559,             0.93882,             0.81062,            0.019012,            0.034875,           0.0048847,             0.00571,             0.00571,             0.00571
                 132,            0.025384,            0.037577,           0.0051214,             0.93324,             0.89256,             0.94041,             0.81264,            0.019092,            0.034399,           0.0048214,            0.005677,            0.005677,            0.005677
                 133,            0.025265,            0.036633,           0.0051022,             0.94725,             0.89705,             0.94175,              0.8119,             0.01899,            0.034418,           0.0047317,            0.005644,            0.005644,            0.005644
                 134,            0.025125,            0.036817,           0.0051069,             0.95062,             0.89424,             0.93793,             0.81032,            0.019034,            0.033969,           0.0046462,            0.005611,            0.005611,            0.005611
                 135,              0.0252,            0.036903,           0.0051205,             0.93827,             0.90308,             0.93617,             0.80833,            0.019039,            0.033654,           0.0046788,            0.005578,            0.005578,            0.005578
                 136,            0.024987,            0.036588,           0.0050633,             0.93999,             0.89941,             0.93936,             0.80847,            0.019119,            0.033595,           0.0047791,            0.005545,            0.005545,            0.005545
                 137,            0.024794,            0.036062,           0.0050264,             0.93428,             0.89888,             0.94125,             0.81301,            0.019032,            0.034332,             0.00471,            0.005512,            0.005512,            0.005512
                 138,            0.025106,            0.037141,           0.0051062,             0.94656,             0.89697,             0.94008,             0.81243,             0.01913,            0.034401,           0.0048339,            0.005479,            0.005479,            0.005479
                 139,            0.024777,            0.036745,           0.0049948,             0.94584,             0.89821,             0.94344,             0.81595,            0.018902,            0.034323,           0.0048253,            0.005446,            0.005446,            0.005446
                 140,             0.02468,            0.036693,           0.0049848,             0.94513,              0.8943,             0.94096,             0.81276,            0.018869,             0.03444,           0.0048215,            0.005413,            0.005413,            0.005413
                 141,            0.024834,            0.035934,           0.0050182,             0.94133,             0.89892,             0.93791,             0.81282,            0.018859,            0.033904,           0.0047025,             0.00538,             0.00538,             0.00538
                 142,             0.02459,            0.036041,           0.0050457,             0.94559,             0.89176,              0.9403,             0.81265,            0.018939,             0.03481,           0.0047122,            0.005347,            0.005347,            0.005347
                 143,            0.024872,            0.036788,           0.0050113,             0.92879,             0.89823,             0.94167,             0.81654,            0.019007,            0.034284,           0.0047001,            0.005314,            0.005314,            0.005314
                 144,             0.02466,            0.036268,           0.0048866,             0.93002,             0.90218,             0.94324,              0.8183,            0.018781,            0.033683,            0.004772,            0.005281,            0.005281,            0.005281
                 145,            0.024553,            0.036214,           0.0048952,             0.94009,             0.90092,              0.9445,             0.82116,            0.018926,            0.034205,           0.0047869,            0.005248,            0.005248,            0.005248
                 146,            0.024767,            0.036185,            0.005011,             0.94576,              0.9003,             0.94378,             0.81889,            0.018796,            0.033599,           0.0047549,            0.005215,            0.005215,            0.005215
                 147,             0.02464,            0.036536,           0.0048546,             0.95216,             0.89484,             0.94497,             0.82076,              0.0187,             0.03357,           0.0047415,            0.005182,            0.005182,            0.005182
                 148,            0.024462,             0.03515,            0.004868,             0.94644,             0.90353,             0.94611,             0.82102,            0.018678,            0.033743,           0.0046939,            0.005149,            0.005149,            0.005149
                 149,            0.024704,            0.036651,           0.0050287,             0.95445,             0.90285,             0.94723,             0.82101,            0.018631,             0.03422,           0.0047477,            0.005116,            0.005116,            0.005116
